69	ОСТАНОВ! Блок-контакт входной площадки верхней  	RED
70	МП ВНИЗ! Нет блокировочной цепи:	RED
71	МП ВНИЗ! Не сработал контактор КД	RED
72	МП ВНИЗ! Не сработал контактор КТ	RED
73	МП ВНИЗ! Не сработал контактор КН	RED
74	МП! Поступила команда ВНИЗ	BLACK
75	MП! Выполнена команда ВНИЗ	BLACK
76		RED
77		RED
78	Открыта передняя дверь шкафа       	BLACK
79	Открыта задняя дверь шкафа         	BLACK
80	Закрыта передняя дверь шкафа       	BLACK
81	Закрыта задняя дверь шкафа         	BLACK
82	АТ! Неисправна катушка электромагнита АТ	RED
83	Остановка эскалатора пассажирами   	GREEN
84	Ошибка! Попытка пуска без команды ТС с СУРСТ	GREEN
85	Команда ТС - сброс ключей  КАВП	BLACK
86	Нет +24В или не установлен ни один из режимов	RED
87	Ошибка! Включен рубильник главного привода QS1	GREEN
88	Ошибка! Включен автомат малого привода QF2 	GREEN
89	ТЕСТ! Нет блок-цепи:	GREEN
90	ВЫБЕГ! Необходимо поднять колодки рабочего тормоза	GREEN
91	ВЫБЕГ! Останов эскалатора         	BLACK
92	Отпустили кнопку ВВЕРХ или ВНИЗ    	GREEN
93	ВЫБЕГ! СТОП и начало измерения выбега	GREEN
94	Тормозной путь в норме	BLACK
95	Тормозной путь не в норме	RED
96	Растормаживание! Восстановили БАП  	BLACK
97	Растормаживание! Восстановили БАЛ  	BLACK
98	ТЕСТ! СТОП-Отпустили кнопку ВВЕРХ 	GREEN
99	ТЕСТ! СТОП-Отпустили кнопку ВНИЗ  	GREEN
100	После СТОП не наложились колодки рабочего тормоза!	RED
101	АТ! Включен по причине опрокидывания эскалатора	RED
102	АТ! Через 7 сек эскалатор не остановился	RED
103	AТ! Нет одного из сигналов с датчика скорости 	RED
104	АТ! Нет обеих сигналов с датчика скорости 	RED
105	АТ! Эскалатор начал двигаться из состояния СТОП	RED
106	СТОП и АТ!!!                      	RED
107	CТОП! Превышение скорости эскалатора на 20% 	RED
108	АТ! Превышение скорости эскалатора на 25% 	RED
109	Восстановление блок-цепи	BLACK
110	ДУ! Поступила команда ВВЕРХ от диспетчера	BLACK
111	ДУ! Поступила команда ВНИЗ от диспетчера	BLACK
112	ДУ! Поступила команда СТОП от диспетчера	BLACK
113	СТОП! Нет одного из сигналов с датчика скорости 	RED
114	СТОП! Нет обеих сигналов с датчика скорости	RED
115	Блок включен в работу              	BLACK
116	Блок выключен из работы            	BLACK
117	Не инсталирован СОМ-порт           	BLACK
118	ВЫБЕГ! Выбег эскалатора равен (мм)	BLACK
119	Тормозной путь  равен	BLACK
120	Блок-цепь не норма                 	RED
121	Блок-цепь норма                    	BLACK
122	Канал A ! Нет связи с блоком           	RED
123	Канал A . Есть связь с блоком          	BLACK
124	Канал В ! Нет связи с блоком           	RED
125	Канал В . Есть связь с блоком          	BLACK
126	Канал С ! Нет связи с блоком  	RED
127	Канал С . Есть связь с блоком 	BLACK
128	Выбег равен (мм)             	BLACK
129	Нет связи ни с одним блоком! 	RED
130	Создан новый файл параметров	GREEN
131	Блок А! Неисправен оптронный модуль 	GREEN
132	Блок В! Неисправен оптронный модуль 	GREEN
133	Блок С! Неисправен оптронный модуль 	GREEN
134	Блок А! Неисправен релейный модуль 	GREEN
135	Блок В! Неисправен релейный модуль 	GREEN
136	Блок С! Неисправен релейный модуль 	GREEN
137	Остановка эскалатора пассажирами (ключ КАНЛ)	RED
138	Остановка эскалатора пассажирами (ключ КАНП)	RED
139	Остановка эскалатора пассажирами (ключ КАВЛ)	RED
140	Остановка эскалатора пассажирами (ключ КАВП)	RED
141	Разрыв соединения со стойкой управления	BLUE
142	Установлено соединение со стойкой управления	BLUE
143	Диспетчерский пульт запущен	BLUE
144	Диспетчерский пульт закрыт	BLUE
145	Потеряна связь с эскалатором	BLUE
